Timestamp_ms,Centered_EMG,RMS_Envelope
3311249,1.7972,7.9544
3311250,0.7972,7.9337
3311251,-6.2028,7.9256
3311252,-7.2028,7.9220
3311253,-8.2028,7.9235
3311254,-7.2028,7.9199
3311255,-7.2028,7.9164
3311256,-8.2028,7.9179
3311257,-7.2028,7.9144
3311258,-6.2028,7.9067
3311259,-8.2028,7.9082
3311260,-11.2028,7.9281
3311261,-11.2028,7.9477
3311262,-11.2028,7.9671
3311263,-14.2028,8.0098
3311264,-12.2028,8.0357
3311265,-12.2028,8.0612
3311266,-11.2028,8.0794
3311267,-11.2028,8.0974
3311268,-13.2028,8.1296
3311269,-14.2028,8.1694
3311270,-13.2028,8.2007
3311271,-13.2028,8.2316
3311272,-14.2028,8.2699
3311273,-11.2028,8.2861
3311274,-11.2028,8.3021
3311275,-13.2028,8.3316
3311276,-24.2028,8.4738
3311277,-25.2028,8.6257
3311278,-23.2028,8.7482
3311279,-25.2028,8.8928
3311280,-15.2028,8.9315
3311281,-14.2028,8.9624
3311282,-14.2028,8.9928
3311283,-23.2028,9.1062
3311284,-25.2028,9.2406
3311285,-24.2028,9.3601
3311286,-23.2028,9.4661
3311287,-16.2028,9.5062
3311288,-24.2028,9.6198
3311289,-25.2028,9.7422
3311290,-23.2028,9.8407
3311291,-27.2028,9.9811
3311292,-27.2028,10.1185
3311293,-24.2028,10.2205
3311294,-24.2028,10.3206
3311295,-24.2028,10.4189
3311296,-24.2028,10.5155
3311297,-23.2028,10.6010
3311298,-23.2028,10.6851
3311299,-23.2028,10.7678
3311300,-14.2028,10.7844
3311301,-14.2028,10.8008
3311302,-15.2028,10.8227
3311303,-23.2028,10.9025
3311304,-23.2028,10.9811
3311305,-15.2028,11.0016
3311306,-15.2028,11.0219
3311307,-24.2028,11.1069
3311308,-14.2028,11.1211
3311309,-14.2028,11.1352
3311310,-15.2028,11.1544
3311311,-16.2028,11.1790
3311312,-15.2028,11.1978
3311313,-15.2028,11.2165
3311314,-22.2028,11.2807
3311315,-14.2028,11.2937
3311316,-14.2028,11.3065
3311317,-14.2028,11.3192
3311318,-14.2028,11.3318
3311319,-13.2028,11.3396
3311320,-13.2028,11.3474
3311321,-13.2028,11.3551
3311322,-13.2028,11.3627
3311323,-13.2028,11.3702
3311324,-14.2028,11.3823
3311325,-11.2028,11.3816
3311326,-12.2028,11.3848
3311327,-13.2028,11.3922
3311328,-11.2028,11.3915
3311329,-11.2028,11.3908
3311330,-10.2028,11.3866
3311331,-11.2028,11.3859
3311332,-10.2028,11.3818
3311333,-9.2028,11.3746
3311334,-9.2028,11.3674
3311335,-7.2028,11.3550
3311336,-7.2028,11.3427
3311337,1.7972,11.3228
3311338,1.7972,11.3029
3311339,2.7972,11.2839
3311340,2.7972,11.2649
3311341,3.7972,11.2472
3311342,3.7972,11.2295
3311343,0.7972,11.2097
3311344,-6.2028,11.1960
3311345,-7.2028,11.1845
3311346,-6.2028,11.1709
3311347,-7.2028,11.1596
3311348,-9.2028,11.1534
3311349,1.7972,11.1346
3311350,1.7972,11.1158
3311351,-7.2028,11.1048
3311352,-6.2028,11.0917
3311353,1.7972,11.0732
3311354,2.7972,11.0556
3311355,3.7972,11.0390
3311356,5.7972,11.0255
3311357,9.7972,11.0216
3311358,4.7972,11.0066
3311359,2.7972,10.9894
3311360,0.7972,10.9712
3311361,-8.2028,10.9631
3311362,-10.2028,10.9607
3311363,-8.2028,10.9527
3311364,-7.2028,10.9425
3311365,1.7972,10.9250
3311366,4.7972,10.9106
3311367,4.7972,10.8963
3311368,2.7972,10.8797
3311369,2.7972,10.8633
3311370,2.7972,10.8469
3311371,1.7972,10.8299
3311372,3.7972,10.8147
3311373,5.7972,10.8024
3311374,5.7972,10.7901
3311375,5.7972,10.7779
3311376,6.7972,10.7677
3311377,6.7972,10.7574
3311378,7.7972,10.7494
3311379,6.7972,10.7393
3311380,7.7972,10.7314
3311381,6.7972,10.7213
3311382,7.7972,10.7135
3311383,8.7972,10.7081
3311384,7.7972,10.7003
3311385,15.7972,10.7197
3311386,16.7972,10.7436
3311387,17.7972,10.7722
3311388,17.7972,10.8006
3311389,15.7972,10.8193
3311390,8.7972,10.8137
3311391,17.7972,10.8416
3311392,15.7972,10.8599
3311393,9.7972,10.8569
3311394,17.7972,10.8843
3311395,17.7972,10.9114
3311396,17.7972,10.9384
3311397,18.7972,10.9700
3311398,17.7972,10.9965
3311399,17.7972,11.0227
3311400,17.7972,11.0487
3311401,8.7972,11.0428
3311402,15.7972,11.0597
3311403,15.7972,11.0764
3311404,7.7972,11.0683
3311405,6.7972,11.0583
3311406,7.7972,11.0503
3311407,7.7972,11.0423
3311408,7.7972,11.0343
3311409,7.7972,11.0264
3311410,6.7972,11.0166
3311411,7.7972,11.0088
3311412,15.7972,11.0253
3311413,16.7972,11.0459
3311414,17.7972,11.0708
3311415,17.7972,11.0955
3311416,16.7972,11.1156
3311417,9.7972,11.1121
3311418,8.7972,11.1063
3311419,16.7972,11.1262
3311420,8.7972,11.1204
3311421,7.7972,11.1126
3311422,5.7972,11.1014
3311423,7.7972,11.0937
3311424,5.7972,11.0826
3311425,5.7972,11.0716
3311426,7.7972,11.0639
3311427,16.7972,11.0836
3311428,16.7972,11.1031
3311429,18.7972,11.1311
3311430,17.7972,11.1545
3311431,8.7972,11.1488
3311432,7.7972,11.1412
3311433,7.7972,11.1336
3311434,6.7972,11.1242
3311435,7.7972,11.1167
3311436,9.7972,11.1134
3311437,8.7972,11.1079
3311438,17.7972,11.1309
3311439,16.7972,11.1496
3311440,8.7972,11.1441
3311441,8.7972,11.1385
3311442,6.7972,11.1294
3311443,5.7972,11.1188
3311444,6.7972,11.1097
3311445,6.7972,11.1007
3311446,6.7972,11.0917
3311447,5.7972,11.0813
3311448,6.7972,11.0724
3311449,6.7972,11.0635
3311450,7.7972,11.0564
3311451,16.7972,11.0748
3311452,16.7972,11.0932
3311453,17.7972,11.1154
3311454,16.7972,11.1335
3311455,15.7972,11.1478
3311456,6.7972,11.1389
3311457,6.7972,11.1301
3311458,6.7972,11.1213
3311459,6.7972,11.1126
3311460,4.7972,11.1013
3311461,5.7972,11.0912
3311462,7.7972,11.0842
3311463,7.7972,11.0773
3311464,9.7972,11.0743
3311465,17.7972,11.0959
3311466,7.7972,11.0890
3311467,7.7972,11.0821
3311468,6.7972,11.0736
3311469,6.7972,11.0652
3311470,5.7972,11.0554
3311471,4.7972,11.0445
3311472,4.7972,11.0336
3311473,3.7972,11.0218
3311474,4.7972,11.0110
3311475,4.7972,11.0003
3311476,5.7972,10.9907
3311477,5.7972,10.9812
3311478,4.7972,10.9706
3311479,4.7972,10.9600
3311480,1.7972,10.9473
3311481,3.7972,10.9358
3311482,3.7972,10.9244
3311483,3.7972,10.9131
3311484,3.7972,10.9017
3311485,4.7972,10.8914
3311486,6.7972,10.8836
3311487,3.7972,10.8724
3311488,3.7972,10.8612
3311489,2.7972,10.8494
3311490,1.7972,10.8371
3311491,1.7972,10.8249
3311492,1.7972,10.8127
3311493,2.7972,10.8010
3311494,0.7972,10.7887
3311495,0.7972,10.7763
3311496,2.7972,10.7648
3311497,3.7972,10.7540
3311498,1.7972,10.7421
3311499,-7.2028,10.7353
3311500,1.7972,10.7235
3311501,3.7972,10.7128
3311502,-7.2028,10.7062
3311503,-7.2028,10.6996
3311504,-7.2028,10.6930
3311505,2.7972,10.6818
3311506,1.7972,10.6701
3311507,2.7972,10.6590
3311508,3.7972,10.6486
3311509,3.7972,10.6383
3311510,3.7972,10.6279
3311511,2.7972,10.6170
3311512,4.7972,10.6076
3311513,2.7972,10.5967
3311514,2.7972,10.5859
3311515,2.7972,10.5750
3311516,3.7972,10.5649
3311517,3.7972,10.5549
3311518,3.7972,10.5448
3311519,3.7972,10.5348
3311520,2.7972,10.5242
3311521,2.7972,10.5136
3311522,2.7972,10.5030
3311523,4.7972,10.4940
3311524,3.7972,10.4842
3311525,2.7972,10.4737
3311526,2.7972,10.4633
3311527,2.7972,10.4528
3311528,3.7972,10.4431
3311529,5.7972,10.4354
3311530,8.7972,10.4322
3311531,8.7972,10.4290
3311532,15.7972,10.4433
3311533,7.7972,10.4384
3311534,5.7972,10.4308
3311535,3.7972,10.4213
3311536,2.7972,10.4111
3311537,3.7972,10.4017
3311538,5.7972,10.3942
3311539,3.7972,10.3847
3311540,2.7972,10.3747
3311541,2.7972,10.3647
3311542,2.7972,10.3547
3311543,1.7972,10.3443
3311544,1.7972,10.3340
3311545,0.7972,10.3234
3311546,0.7972,10.3128
3311547,0.7972,10.3023
3311548,-8.2028,10.2984
3311549,3.7972,10.2893
3311550,5.7972,10.2821
3311551,3.7972,10.2731
3311552,1.7972,10.2630
3311553,0.7972,10.2526
3311554,1.7972,10.2425
3311555,-10.2028,10.2425
3311556,-10.2028,10.2424
3311557,-9.2028,10.2404
3311558,-13.2028,10.2472
3311559,-14.2028,10.2567
3311560,-8.2028,10.2530
3311561,-7.2028,10.2573
3311562,2.7972,10.2573
3311563,1.7972,10.2573
3311564,1.7972,10.2568
3311565,1.7972,10.2549
3311566,1.7972,10.2538
3311567,-9.2028,10.2606
3311568,-8.2028,10.2639
3311569,-9.2028,10.2699
3311570,-9.2028,10.2759
3311571,-9.2028,10.2834
3311572,-9.2028,10.2909
3311573,-10.2028,10.2996
3311574,-11.2028,10.3110
3311575,-10.2028,10.3204
3311576,1.7972,10.3199
3311577,1.7972,10.3195
3311578,-10.2028,10.3288
3311579,-12.2028,10.3429
3311580,-13.2028,10.3590
3311581,-12.2028,10.3726
3311582,-11.2028,10.3839
3311583,-9.2028,10.3907
3311584,-8.2028,10.3958
3311585,-11.2028,10.4071
3311586,-9.2028,10.4149
3311587,-9.2028,10.4223
3311588,-9.2028,10.4301
3311589,0.7972,10.4294
3311590,-8.2028,10.4351
3311591,1.7972,10.4340
3311592,0.7972,10.4333
3311593,-7.2028,10.4369
3311594,1.7972,10.4359
3311595,-8.2028,10.4420
3311596,-8.2028,10.4420
3311597,-7.2028,10.4467
3311598,-8.2028,10.4528
3311599,3.7972,10.4539
3311600,2.7972,10.4543
3311601,1.7972,10.4539
3311602,-8.2028,10.4600
3311603,-7.2028,10.4646
3311604,-7.2028,10.4695
3311605,1.7972,10.4634
3311606,1.7972,10.4588
3311607,3.7972,10.4520
3311608,5.7972,10.4471
3311609,6.7972,10.4479
3311610,4.7972,10.4498
3311611,4.7972,10.4517
3311612,5.7972,10.4485
3311613,6.7972,10.4492
3311614,6.7972,10.4522
3311615,6.7972,10.4553
3311616,8.7972,10.4613
3311617,8.7972,10.4684
3311618,9.7972,10.4772
3311619,17.7972,10.5052
3311620,16.7972,10.5277
3311621,17.7972,10.5555
3311622,17.7972,10.5848
3311623,17.7972,10.6139
3311624,9.7972,10.6216
3311625,18.7972,10.6534
3311626,19.7972,10.6894
3311627,19.7972,10.7247
3311628,22.7972,10.7723
3311629,22.7972,10.8183
3311630,31.7972,10.9072
3311631,33.7972,11.0072
3311632,33.7972,11.1074
3311633,32.7972,11.2009
3311634,34.7972,11.3064
3311635,33.7972,11.4029
3311636,33.7972,11.4987
3311637,33.7972,11.5936
3311638,33.7972,11.6878
3311639,34.7972,11.7880
3311640,33.7972,11.8833
3311641,34.7972,11.9836
3311642,33.7972,12.0758
3311643,33.7972,12.1688
3311644,33.7972,12.2604
3311645,36.7972,12.3685
3311646,37.7972,12.4816
3311647,36.7972,12.5870
3311648,36.7972,12.6914
3311649,37.7972,12.7999
3311650,36.7972,12.9027
3311651,35.7972,12.9990
3311652,34.7972,13.0912
3311653,34.7972,13.1828
3311654,34.7972,13.2737
3311655,35.7972,13.3682
3311656,36.7972,13.4634
3311657,33.7972,13.5218
3311658,36.7972,13.5983
3311659,38.7972,13.6880
3311660,37.7972,13.7715
3311661,35.7972,13.8586
3311662,36.7972,13.9358
3311663,36.7972,14.0283
3311664,35.7972,14.1150
3311665,37.7972,14.2104
3311666,38.7972,14.2985
3311667,36.7972,14.3887
3311668,33.7972,14.4646
3311669,24.7972,14.5029
3311670,23.7972,14.5366
3311671,21.7972,14.5475
3311672,21.7972,14.5583
3311673,24.7972,14.5952
3311674,23.7972,14.6298
3311675,24.7972,14.6702
3311676,24.7972,14.7089
3311677,24.7972,14.7454
3311678,22.7972,14.7541
3311679,22.7972,14.7678
3311680,21.7972,14.7786
3311681,23.7972,14.7978
3311682,23.7972,14.8192
3311683,24.7972,14.8416
3311684,32.7972,14.8927
3311685,32.7972,14.9606
3311686,22.7972,14.9931
3311687,33.7972,15.0676
3311688,32.7972,15.1201
3311689,33.7972,15.1697
3311690,25.7972,15.1902
3311691,33.7972,15.2445
3311692,33.7972,15.3029
3311693,25.7972,15.3424
3311694,23.7972,15.3742
3311695,31.7972,15.4336
3311696,37.7972,15.5032
3311697,39.7972,15.5798
3311698,39.7972,15.6610
3311699,38.7972,15.7539
3311700,33.7972,15.8233
3311701,25.7972,15.8624
3311702,20.7972,15.8867
3311703,21.7972,15.9151
3311704,23.7972,15.9478
3311705,24.7972,15.9814
3311706,23.7972,15.9992
3311707,25.7972,16.0210
3311708,24.7972,16.0418
3311709,33.7972,16.1090
3311710,34.7972,16.1826
3311711,38.7972,16.2745
3311712,40.7972,16.3764
3311713,37.7972,16.4632
3311714,38.7972,16.5542
3311715,36.7972,16.6358
3311716,32.7972,16.6972
3311717,23.7972,16.7270
3311718,21.7972,16.7554
3311719,22.7972,16.7862
3311720,23.7972,16.8197
3311721,33.7972,16.8870
3311722,34.7972,16.9577
3311723,34.7972,17.0288
3311724,33.7972,17.0955
3311725,34.7972,17.1660
3311726,34.7972,17.2362
3311727,35.7972,17.3100
3311728,32.7972,17.3718
3311729,32.7972,17.4332
3311730,33.7972,17.4981
3311731,34.7972,17.5670
3311732,33.7972,17.6317
3311733,34.7972,17.6998
3311734,34.7972,17.7679
3311735,34.7972,17.8355
3311736,35.7972,17.9070
3311737,35.7972,17.9783
3311738,34.7972,18.0453
3311739,33.7972,18.1081
3311740,36.7972,18.1822
3311741,35.7972,18.2522
3311742,35.7972,18.3221
3311743,35.7972,18.3918
3311744,34.7972,18.4571
3311745,37.7972,18.5343
3311746,38.7972,18.6153
3311747,38.7972,18.6960
3311748,36.7972,18.7678
3311749,36.7972,18.8397
3311750,39.7972,18.9235
3311751,39.7972,19.0050
3311752,38.7972,19.0813
3311753,36.7972,19.1486
3311754,37.7972,19.2204
3311755,36.7972,19.2880
3311756,38.7972,19.3624
3311757,36.7972,19.4296
3311758,38.7972,19.5049
3311759,38.7972,19.5785
3311760,38.7972,19.6489
3311761,38.7972,19.7189
3311762,39.7972,19.7928
3311763,41.7972,19.8707
3311764,49.7972,19.9876
3311765,48.7972,20.0990
3311766,48.7972,20.2109
3311767,50.7972,20.3320
3311768,49.7972,20.4451
3311769,48.7972,20.5514
3311770,47.7972,20.6539
3311771,39.7972,20.7220
3311772,47.7972,20.8223
3311773,48.7972,20.9303
3311774,51.7972,21.0521
3311775,50.7972,21.1661
3311776,51.7972,21.2650
3311777,54.7972,21.3760
3311778,54.7972,21.4910
3311779,55.7972,21.6060
3311780,65.7972,21.7948
3311781,53.7972,21.9180
3311782,47.7972,22.0129
3311783,38.7972,22.0567
3311784,40.7972,22.1033
3311785,40.7972,22.1521
3311786,50.7972,22.2441
3311787,51.7972,22.3526
3311788,49.7972,22.4372
3311789,48.7972,22.5149
3311790,50.7972,22.6054
3311791,49.7972,22.6822
3311792,41.7972,22.7266
3311793,39.7972,22.7705
3311794,40.7972,22.8178
3311795,39.7972,22.8615
3311796,38.7972,22.9017
3311797,38.7972,22.9438
3311798,37.7972,22.9826
3311799,40.7972,23.0315
3311800,40.7972,23.0950
3311801,39.7972,23.1547
3311802,38.7972,23.2097
3311803,37.7972,23.2480
3311804,38.7972,23.2896
3311805,38.7972,23.3442
3311806,37.7972,23.3955
3311807,35.7972,23.4252
3311808,37.7972,23.4775
3311809,36.7972,23.5265
3311810,37.7972,23.5774
3311811,37.7972,23.6268
3311812,37.7972,23.6774
3311813,38.7972,23.7311
3311814,37.7972,23.7705
3311815,37.7972,23.8221
3311816,36.7972,23.8704
3311817,36.7972,23.9186
3311818,38.7972,23.9731
3311819,38.7972,24.0285
3311820,39.7972,24.0871
3311821,35.7972,24.1330
3311822,34.7972,24.1760
3311823,35.7972,24.2217
3311824,32.7972,24.2578
3311825,34.7972,24.3025
3311826,34.7972,24.3461
3311827,35.7972,24.3915
3311828,35.7972,24.4389
3311829,36.7972,24.4891
3311830,37.7972,24.5431
3311831,39.7972,24.6025
3311832,39.7972,24.6626
3311833,40.7972,24.7265
3311834,36.7972,24.7778
3311835,35.7972,24.8274
3311836,35.7972,24.8769
3311837,33.7972,24.9226
3311838,34.7972,24.9710
3311839,35.7972,25.0220
3311840,35.7972,25.0728
3311841,36.7972,25.1262
3311842,38.7972,25.1854
3311843,38.7972,25.2451
3311844,39.7972,25.3063
3311845,39.7972,25.3667
3311846,38.7972,25.4245
3311847,48.7972,25.5159
3311848,48.7972,25.6058
3311849,39.7972,25.6674
3311850,38.7972,25.7259
3311851,36.7972,25.7764
3311852,38.7972,25.8333
3311853,39.7972,25.8944
3311854,39.7972,25.9552
3311855,39.7972,26.0156
3311856,36.7972,26.0663
3311857,36.7972,26.1145
3311858,37.7972,26.1683
3311859,39.7972,26.2284
3311860,36.7972,26.2800
3311861,36.7972,26.3289
3311862,39.7972,26.3850
3311863,39.7972,26.4424
3311864,40.7972,26.5034
3311865,51.7972,26.6043
3311866,52.7972,26.7080
3311867,53.7972,26.8153
3311868,51.7972,26.9148
3311869,50.7972,27.0103
3311870,49.7972,27.1016
3311871,37.7972,27.1542
3311872,36.7972,27.2035
3311873,36.7972,27.2520
3311874,36.7972,27.3004
3311875,34.7972,27.3434
3311876,33.7972,27.3835
3311877,35.7972,27.4286
3311878,37.7972,27.4784
3311879,39.7972,27.5343
3311880,41.7972,27.5955
3311881,48.7972,27.6800
3311882,48.7972,27.7637
3311883,39.7972,27.8179
3311884,38.7972,27.8697
3311885,39.7972,27.9176
3311886,47.7972,27.9892
3311887,54.7972,28.0850
3311888,52.7972,28.1728
3311889,41.7972,28.2259
3311890,39.7972,28.2793
3311891,38.7972,28.3213
3311892,39.7972,28.3683
3311893,48.7972,28.4488
3311894,48.7972,28.5213
3311895,49.7972,28.5970
3311896,48.7972,28.6691
3311897,48.7972,28.7397
3311898,48.7972,28.8115
3311899,49.7972,28.8865
3311900,50.7972,28.9647
3311901,50.7972,29.0510
3311902,50.7972,29.1311
3311903,49.7972,29.2076
3311904,48.7972,29.2869
3311905,49.7972,29.3699
3311906,48.7972,29.4488
3311907,40.7972,29.5032
3311908,38.7972,29.5521
3311909,50.7972,29.6372
3311910,49.7972,29.7192
3311911,49.7972,29.8005
3311912,48.7972,29.8720
3311913,49.7972,29.9454
3311914,40.7972,29.9904
3311915,36.7972,30.0250
3311916,38.7972,30.0657
3311917,49.7972,30.1449
3311918,50.7972,30.2278
3311919,38.7972,30.2682
3311920,39.7972,30.3180
3311921,53.7972,30.4113
3311922,54.7972,30.5087
3311923,49.7972,30.5879
3311924,50.7972,30.6711
3311925,50.7972,30.7540
3311926,50.7972,30.8358
3311927,51.7972,30.9136
3311928,51.7972,30.9911
3311929,51.7972,31.0662
3311930,53.7972,31.1491
3311931,53.7972,31.2394
3311932,54.7972,31.3334
3311933,52.7972,31.4203
3311934,48.7972,31.4945
3311935,38.7972,31.5404
3311936,37.7972,31.5826
3311937,40.7972,31.6328
3311938,38.7972,31.6703
3311939,37.7972,31.7065
3311940,39.7972,31.7540
3311941,39.7972,31.8014
3311942,40.7972,31.8522
3311943,37.7972,31.8960
3311944,37.7972,31.9393
3311945,37.7972,31.9826
3311946,37.7972,32.0258
3311947,39.7972,32.0741
3311948,38.7972,32.1196
3311949,48.7972,32.1922
3311950,35.7972,32.2301
3311951,22.7972,32.2375
3311952,20.7972,32.2421
3311953,33.7972,32.2677
3311954,39.7972,32.3080
3311955,50.7972,32.3801
3311956,47.7972,32.4492
3311957,48.7972,32.5210
3311958,41.7972,32.5733
3311959,38.7972,32.6181
3311960,35.7972,32.6566
3311961,34.7972,32.6926
3311962,32.7972,32.7237
3311963,36.7972,32.7632
3311964,38.7972,32.8062
3311965,38.7972,32.8424
3311966,35.7972,32.8795
3311967,37.7972,32.9211
3311968,39.7972,32.9678
3311969,38.7972,33.0120
3311970,36.7972,33.0520
3311971,31.7972,33.0818
3311972,24.7972,33.0997
3311973,33.7972,33.1338
3311974,35.7972,33.1717
3311975,32.7972,33.2035
3311976,37.7972,33.2454
3311977,47.7972,33.3131
3311978,48.7972,33.3838
3311979,40.7972,33.4329
3311980,49.7972,33.5069
3311981,49.7972,33.5804
3311982,41.7972,33.6320
3311983,39.7972,33.6786
3311984,48.7972,33.7488
3311985,48.7972,33.8186
3311986,39.7972,33.8640
3311987,38.7972,33.9080
3311988,36.7972,33.9475
3311989,34.7972,33.9829
3311990,33.7972,34.0164
3311991,34.7972,34.0519
3311992,35.7972,34.0894
3311993,38.7972,34.1333
3311994,38.7972,34.1774
3311995,35.7972,34.2148
3311996,34.7972,34.2500
3311997,37.7972,34.2912
3311998,33.7972,34.3244
3311999,35.7972,34.3602
3312000,39.7972,34.4062
3312001,35.7972,34.4430
3312002,20.7972,34.4541
3312003,18.7972,34.4628
3312004,33.7972,34.4944
3312005,35.7972,34.5313
3312006,36.7972,34.5704
3312007,49.7972,34.6419
3312008,55.7972,34.7312
3312009,56.7972,34.8236
3312010,55.7972,34.9124
3312011,50.7972,34.9860
3312012,40.7972,35.0329
3312013,39.7972,35.0779
3312014,48.7972,35.1455
3312015,49.7972,35.2157
3312016,47.7972,35.2801
3312017,38.7972,35.3224
3312018,48.7972,35.3893
3312019,49.7972,35.4589
3312020,48.7972,35.5258
3312021,50.7972,35.5981
3312022,49.7972,35.6675
3312023,39.7972,35.7112
3312024,49.7972,35.7802
3312025,49.7972,35.8492
3312026,49.7972,35.9181
3312027,38.7972,35.9598
3312028,36.7972,35.9970
3312029,34.7972,36.0297
3312030,33.7972,36.0592
3312031,22.7972,36.0715
3312032,25.7972,36.0830
3312033,33.7972,36.1130
3312034,37.7972,36.1516
3312035,51.7972,36.2253
3312036,49.7972,36.2935
3312037,40.7972,36.3389
3312038,39.7972,36.3816
3312039,51.7972,36.4549
3312040,53.7972,36.5339
3312041,56.7972,36.6219
3312042,51.7972,36.6949
3312043,49.7972,36.7623
3312044,40.7972,36.8075
3312045,47.7972,36.8695
